KEY,en,notes,sp,fr,de,it,pt-br,zh
KEYWORD_AMMO_DESC_STACKLESS,某些能力需要弹药才能使用。,,Ciertas habilidades necesitan munición.,Certaines compétences requièrent des munitions.,Gewisse Fähigkeiten benötigen Munition.,Alcune abilità richiedono delle munizioni per essere utilizzate.,Certas habilidades requerem munição para serem utilizadas.,某些能力需要彈藥才能使用。
KEYWORD_ATTRACTION_NAME,吸引,,Atracción,Attraction,Anziehung,Attrazione,Atração,吸引
KEYWORD_ATTRACTION_REF,吸引,,Atracción,Attraction,Anziehung,Attrazione,Atração,吸引
KEYWORD_ATTRACTION_DESC_REF,在其回合开始时向{applier}移动。,,Se mueve hacia {applier} al inicio del turno.,Avance vers {applier} au début de son tour.,Bewegt sich am Anfang des Zuges auf {applier} zu.,Si muove verso {applier} all'inizio del suo turno.,Move-se na direção de {applier} no início de seu turno.,在其回合開始時向{applier}移動。
KEYWORD_ATTRACTION_DESC,吸引你的东西消失了。无任何效果。,,Lo que ejercía la atracción ha desaparecido. No hace nada.,Ce qui vous attirait a disparu. L'effet disparaît également.,"Was auch immer dich angezogen hat, ist nicht mehr da. Hat keine Wirkung.",L'oggetto che ti attrae è sparito. Non succede nulla.,A coisa que está atraindo você se foi. Não faz nada.,吸引你的東西消失了。無任何效果。
KEYWORD_ATTRACTION_DESC_STACKLESS,在其回合开始时向你移动。,,Se mueve hacia esta unidad al inicio del turno.,Se déplace en votre direction au début de son tour.,Bewegt sich am Anfang des Zuges auf dich zu.,Si muove verso di te all'inizio del suo turno.,Move-se na sua direção no início de seu turno.,在其回合開始時向你移動。
KEYWORD_BACKFLIP_NAME,后空翻,,Mortal hacia atrás,Salto arrière,Rückwärtssalto,Salto Mortale all'Indietro,Mortal para Trás,後空翻
KEYWORD_BACKFLIP_DESC,下一次被选为目标时会后空翻躲开。,,Esta unidad se apartará dando un mortal hacia atrás la próxima vez que la apunten.,Effectue un salto arrière pour esquiver la prochaine fois qu'il est pris pour cible.,"Führt einen Rückwärtssalto aus, wenn die Einheit das nächste Mal anvisiert wird.",Effettua un salto mortale all'indietro la prossima volta che diventa un bersaglio.,Dá um mortal para trás na próxima que se tornar alvo.,下一次被選爲目標時會後空翻躲開。
KEYWORD_BLEED_NAME,流血,,Hemorragia,Saignement,Blutung,Sanguinamento,Sangramento,流血
KEYWORD_BLEED_DESC,在回合结束时受到 {stacks} 点伤害，然后流血值增加 1。,,Sufre {stacks} de daño al final de la ronda y luego aumenta la hemorragia en 1.,"Subit {stacks} dégâts en fin de manche, puis Saignement +1.",Erleidet am Ende der Runde {stacks}&nbsp;Schaden und erhöht Blutung um 1.,"Subisce {stacks} di danno alla fine del round, poi aumenta Sanguinamento di 1.",Sofre {stacks} de dano no final da rodada e então aumenta o sangramento em 1.,在回合結束時受到 {stacks} 點傷害，然後流血值增加 1。
KEYWORD_BLEED_DESC_STACKLESS,在回合结束时受到伤害，然后流血值增加 1。,,Sufre daño al final de la ronda y luego aumenta la hemorragia en 1.,"Subit des dégâts en fin de manche, puis Saignement +1.",Erleidet am Ende der Runde Schaden und erhöht Blutung um 1.,"Subisce danno alla fine del round, poi aumenta Sanguinamento di 1.","Sofre dano no final da rodada, e então aumenta o sangramento em 1.",在回合結束時受到傷害，然後流血值增加 1。
KEYWORD_BLEEDTHORNS_NAME,流血荆棘,,Espinas hemorrágicas,Épines sanglantes,Blutige Dornen,Spine Insanguinate,Espinhos de Sangramento,流血荊棘
KEYWORD_BLEEDTHORNS_DESC,对接触你的单位造成 {stacks} 点伤害并使其流血 {stacks}。,,Inflige {stacks} de daño y +{stacks} de hemorragia a las unidades en que entran en contacto con esta.,Inflige {stacks} dégâts et Saignement {stacks} aux unités qui vous touchent.,"Verursacht {stacks}&nbsp;Schaden und {stacks}&nbsp;Stapel Blutung bei Einheiten, die dich berühren.",Infligge {stacks} danno e Sanguinamento {stacks} alle unità che ti toccano.,Causa {stacks} de dano e aplica sangramento {stacks} em unidades que entrarem em contato com você.,對接觸你的單位造成 {stacks} 點傷害並使其流血 {stacks}。
KEYWORD_BLEEDTHORNS_DESC_STACKLESS,对接触你的单位造成伤害并使其流血。,,Inflige daño y hemorragia a las unidades que entran en contacto con esta.,Inflige des dégâts et Saignement aux unités qui vous touchent.,"Verursacht Schaden und Blutung bei Einheiten, die dich berühren.",Infligge danno e Sanguinamento alle unità che ti toccano.,Causa dano e aplica sangramento em unidades que entrarem em contato com você.,對接觸你的單位造成傷害並使其流血。
KEYWORD_BLESSINGOFPEACE_NAME,和平祝福,,Bendición de paz,Bénédiction de paix,Friedenssegen,Benedizione della Pace,Benção da Paz,和平祝福
KEYWORD_BLESSINGOFPEACE_DESC,在你的回合结束时获得 +{stacks} [img:divineshield]。造成伤害时失去该效果。,,Obtiene +{stacks} [img:divineshield] al final del turno. Lo pierde al infligir daño.,[img:divineshield] +{stacks} à la fin de votre tour. Vous perdez ceci quand vous subissez des dégâts.,"Erhält am Ende deines Zuges +{stacks}&nbsp;[img:divineshield]. Verschwindet, wenn du Schaden verursachst.",Ottieni +{stacks} allo [img:divineshield] alla fine del tuo turno. Perdi questo bonus quando infliggi danno.,Obtenha +{stacks} de [img:divineshield] no final do seu turno. Perca isto ao causar dano.,在你的回合結束時獲得 +{stacks} [img:divineshield]。造成傷害時失去該效果。
KEYWORD_BLESSINGOFPEACE_DESC_STACKLESS,在你的回合结束时获得 [img:divineshield]。造成伤害时失去该效果。,,Obtiene [img:divineshield] al final del turno. Lo pierde al infligir daño.,Vous obtenez de la [img:divineshield] à la fin de votre tour. Vous perdez ceci quand vous infligez des dégâts.,"Erhält am Ende deines Zuges [img:divineshield]. Verschwindet, wenn du Schaden verursachst.",Ottieni [img:divineshield] alla fine del tuo turno. Lo perdi quando infliggi danno.,Obtenha [img:divineshield] no final do seu turno. Perca isto ao causar dano.,在你的回合結束時獲得 [img:divineshield]。造成傷害時失去該效果。
KEYWORD_BLIND_NAME,失明,,Ceguera,Cécité,Blindheit,Accecamento,Cegueira,失明
KEYWORD_BLIND_DESC,接下来 {stacks} 回合内 30% 的攻击会未命中。,,30 % de probabilidad de fallo en los siguientes {stacks} turnos.,Risques d'échec +30&nbsp;% pour les {stacks} prochains tours.,"Für die nächsten {stacks}&nbsp;Züge: 30%ige Wahrscheinlichkeit, dass Angriffe verfehlen.",30% di probabilità di mancare il bersaglio per i prossimi {stacks} turni.,30% de chance de errar nos próximos {stacks} turnos.,接下來 {stacks} 回合內 30% 的攻擊會未命中。
KEYWORD_BLIND_DESC_STACKLESS,接下来一回合内 30% 的攻击会未命中。,,30 % de probabilidad de fallo en el siguiente turno.,Risques d'échec +30&nbsp;% pour le tour à venir.,"Für den nächsten Zug: 30%ige Wahrscheinlichkeit, dass Angriffe verfehlen.",30% di probabilità di mancare il bersaglio per il prossimo turno.,30% de chance de errar no próximo turno.,接下來一回合內 30% 的攻擊會未命中。
KEYWORD_BLOODZERK_NAME,血爆,,Sangramiento,Sanguinaire,Blutberserker,Furia di Sangue,Sanguinolência,血爆
KEYWORD_BLOODZERK_DESC,当你对流血单位造成生命值伤害时，回复等量生命值。,,"Al infligir daño a una unidad con hemorragia, recupera la misma cantidad de salud.","Quand vous infligez des dégâts à une unité subissant Saignement, vous récupérez autant de santé.","Heile dich um die Höhe des Schadens, den du bei einer blutenden Einheit verursachst.","Quando infliggi un danno alla salute di un'unità con Sanguinamento, ti curi di un ammontare pari a quel danno.","Ao causar dano à saúde de uma unidade com sangramento, cure uma quantidade equivalente de saúde.",當你對流血單位造成生命值傷害時，回覆等量生命值。
KEYWORD_BODYGUARD_NAME,保镖,,Guardaespaldas,Garde du corps,Bodyguard,Guardia del Corpo,Guarda-Costas,保鏢
KEYWORD_BODYGUARD_DESC,下次盟友成为攻击目标时，先与其交换位置。,,"La próxima vez que apunten a un aliado, se intercambian las casillas.","La prochaine fois qu'un allié est pris pour cible, vous échangez votre place avec lui.","Tausche das nächste Mal, wenn ein Verbündeter anvisiert wird, Plätze mit ihm, bevor er angegriffen wird.","La prossima volta che un alleato viene preso di mira, ti scambi prima di posto con lui.","Na próxima vez em que um aliado se tornar alvo, troque de lugar com ele.",下次盟友成爲攻擊目標時，先與其交換位置。
KEYWORD_BOUNTY_NAME,赏金,,Recompensa,Prime,Kopfgeld,Taglia,Recompensa,賞金
KEYWORD_BOUNTY_DESC,受到额外 25% 的伤害。如果被击杀，获得 {stacks} 枚金币。,,"Sufre un 25 % de daño extra. Si muere, obtiene {stacks} monedas.","Vous subissez +25&nbsp;% de dégâts. K.O., vous obtenez {stacks} pièces.","Erleidet 25&nbsp;% zusätzlichen Schaden. Erhalte {stacks}&nbsp;Münzen, wenn die Einheit stirbt.","Subisce il 25% di danno aggiuntivo. Se muore, guadagni {stacks} monete.","Sofre 25% de dano adicional. Ao morrer, obtenha {stacks} moedas.",受到額外 25% 的傷害。如果被擊殺，獲得 {stacks} 枚金幣。
KEYWORD_BOUNTY_DESC_STACKLESS,受到额外 25% 的伤害。如果被击杀，获得金币。,,"Sufre un 25 % de daño extra. Si muere, obtiene monedas.","Vous subissez +25&nbsp;% de dégâts. K.O., vous obtenez des pièces.","Erleidet 25&nbsp;% zusätzlichen Schaden. Erhalte Münzen, wenn die Einheit stirbt.","Subisce il 25% di danno aggiuntivo. Se muore, guadagni monete.","Sofre 25% de dano adicional. Ao morrer, obtenha moedas.",受到額外 25% 的傷害。如果被擊殺，獲得金幣。
KEYWORD_BRACE_NAME,蓄势待发,,Refuerzo,Garde,Wappnen,Guardia,Preparação,蓄勢待發
KEYWORD_BRACE_DESC,从所有来源减少 {stacks} 点伤害。,,Sufre {stacks} menos de daño de todos los ataques.,Les dégâts que vous subissez diminuent de {stacks}.,Erleidet von allen Quellen {stacks}&nbsp;Schaden weniger.,Subisce {stacks} di danno in meno da tutte le fonti.,Sofre {stacks} a menos de dano de todas as fontes.,從所有來源減少 {stacks} 點傷害。
KEYWORD_BRACE_DESC_STACKLESS,减少所有受到的伤害。,,Reduce todo el daño sufrido.,Réduit tous les dégâts que vous subissez.,Reduziert sämtlichen erhaltenen Schaden.,Riduce tutto il danno in arrivo.,Reduz todo o dano sofrido.,減少所有受到的傷害。
KEYWORD_BRUISE_NAME,淤伤,,Moratón,Contusion,Beulen,Livido,Contusão,淤傷
KEYWORD_BRUISE_DESC,受到来自物理来源的{stacks}点额外伤害。,,Sufre {stacks} más de daño de los ataques físicos.,Les dégâts physiques que vous subissez augmentent de {stacks}.,Erleidet {stacks}&nbsp;Schaden mehr durch physische Angriffe.,Subisce {stacks} di danno in più da fonti fisiche.,Sofre {stacks} a mais de dano de fontes físicas.,受到來自物理來源的{stacks}點額外傷害。
KEYWORD_BRUISE_DESC_STACKLESS,增加所有受到的物理伤害。,,Aumenta todo el daño físico sufrido.,Augmente tous les dégâts physiques que vous subissez.,Erhöht sämtlichen physischen Schaden.,Aumenta tutto il danno fisico in arrivo.,Aumenta todo o dano físico sofrido.,增加所有受到的物理傷害。
KEYWORD_BURN_NAME,灼烧,,Quemadura,Brûlure,Verbrennung,Bruciatura,Queimadura,灼燒
KEYWORD_BURN_DESC,在回合开始时受到{stacks}点伤害，然后灼烧值减少1。,,Sufre {stacks} de daño al inicio del turno y luego reduce la quemadura en 1.,"Subit {stacks} dégâts au début de son tour, puis Brûlure -1.",Erleidet am Ende des Zuges {stacks}&nbsp;Schaden und verringert Verbrennung um 1.,"Subisce {stacks} di danno all'inizio del suo turno, poi riduce Bruciatura di 1.","Sofre {stacks} de dano no início de seu turno, e então diminui a queimadura em 1.",在回合開始時受到{stacks}點傷害，然後灼燒值減少1。
KEYWORD_BURN_DESC_STACKLESS,在回合开始时受到伤害，然后灼烧值减少1。,,Sufre daño al inicio del turno y luego reduce la quemadura en 1.,"Subit des dégâts au début de son tour, puis Brûlure -1.",Erleidet am Ende des Zuges Schaden und verringert Verbrennung um 1.,"Subisce danno all'inizio del suo turno, poi riduce Bruciatura di 1.","Sofre dano no início de seu turno, e então diminui a queimadura em 1.",在回合開始時受到傷害，然後灼燒值減少1。
KEYWORD_PROMOTE_NAME,提升,,Ascenso,Promotion,Beförderung,Promozione,Promover,提升
KEYWORD_PROMOTE_DESC,你召唤的下一个宠物将升级为[m:img:champion]冠军。,,El siguiente familiar que se genera mejora a [img:champion] adalid.,Le prochain familier que vous invoquez est promu au rang de champion [img:champion].,"Der nächste Begleiter, den du rufst, wird zum [img:champion]&nbsp;Champion befördert.",Il prossimo famiglio che generi viene potenziato in un Campione [img:champion].,O próximo familiar que você gerar é aprimorado para um campeão [img:champion].,你召喚的下一個寵物將升級爲[m:img:champion]冠軍。
KEYWORD_PROMOTE2_NAME,提升+,,Ascenso+,Promotion+,Beförderung+,Promozione+,Promover+,提升+
KEYWORD_PROMOTE2_DESC,你召唤的下一个宠物将升级为[m:img:elite]精英。,,El siguiente familiar que se genera mejora a [img:elite] élite.,Le prochain familier que vous invoquez est promu au rang d'élite [img:champion].,"Der nächste Begleiter, den du rufst, wird zur [img:elite]&nbsp;Elite befördert.",Il prossimo famiglio che generi viene potenziato in un Élite [img:elite].,O próximo familiar que você gerar é aprimorado para um elite [img:elite].,你召喚的下一個寵物將升級爲[m:img:elite]精英。
KEYWORD_CHARGE_NAME,冲锋,,Carga,Charge,Ladung,Carica,Carga,衝鋒
KEYWORD_CHARGE_DESC,在下回合开始时获得{stacks}点法力值。,,Obtiene {stacks} de maná al inicio del siguiente turno.,Mana +{stacks} au début de son prochain tour.,Erhält am Anfang seines nächsten Zuges {stacks}&nbsp;Mana.,Ottiene {stacks} mana all'inizio del suo prossimo turno.,Obtém {stacks} de mana no início de seu turno.,在下回合開始時獲得{stacks}點法力值。
KEYWORD_CHARGE_DESC_STACKLESS,在下回合开始时获得法力值。,,Obtiene maná al inicio del siguiente turno.,Gain de mana au début de son prochain tour.,Erhält am Anfang seines nächsten Zuges Mana.,Ottiene mana all'inizio del suo prossimo turno.,Obtém mana no início de seu turno.,在下回合開始時獲得法力值。
KEYWORD_CHARGEFISTS_NAME,冲锋之拳,,Carga de puños,Poings étincelants,Fäuste nachladen,Pugni Carichi,Punhos Carregados,衝鋒之拳
KEYWORD_CHARGEFISTS_DESC,你的基础攻击在本回合结束前发射{stacks}个火花。,,El ataque básico emite {stacks} destellos hasta el final del turno.,Votre attaque de base émet {stacks} étincelles jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff {stacks}&nbsp;Funken.,Il tuo attacco base emette {stacks} Scintille fino alla fine del turno.,Seu ataque básico emite {stacks} fagulhas até o final do turno.,你的基礎攻擊在本回合結束前發射{stacks}個火花。
KEYWORD_CHARGEFISTS_DESC_SINGULAR,你的基础攻击在本回合结束前发射一个火花。,,El ataque básico emite un destello hasta el final del turno.,Votre attaque de base émet une étincelle jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff einen Funken.,Il tuo attacco base emette una Scintilla fino alla fine del turno.,Seu ataque básico emite uma fagulha até o final do turno.,你的基礎攻擊在本回合結束前發射一個火花。
KEYWORD_CHARGEFISTS_DESC_STACKLESS,你的基础攻击在本回合结束前发射火花。,,El ataque básico emite destellos hasta el final del turno.,Votre attaque de base émet des étincelles jusqu'à la fin du tour.,Bis zum Ende deines Zuges versprüht dein Grundangriff Funken.,Il tuo attacco base emette Scintille fino alla fine del turno.,Seu ataque básico emite fagulhas até o final do turno.,你的基礎攻擊在本回合結束前發射火花。
KEYWORD_CHAUP_NAME,魅力提升,,Carisma aumentado,Charisme (+),Charisma hoch,Carisma +,Carisma Aumentado,魅力提升
KEYWORD_CHAUP_DESC,"魅力提升了{stacks}。
魅力影响最大法力值和初始法力值。",,"El carisma aumenta en {stacks}.
El carisma afecta al maná inicial y al máximo de maná.","Charisme +{stacks}.
Le charisme affecte le mana max. et le mana initial.","Charisma um {stacks} erhöht.
Charisma wirkt sich auf max. Mana und Mana zu Kampfbeginn aus.","Il carisma aumenta di {stacks}.
Il carisma influenza il mana massimo e il mana iniziale.","O carisma é aumentado em {stacks}.
O carisma afeta a mana máxima e a mana inicial.","魅力提升了{stacks}。
魅力影響最大法力值和初始法力值。"
KEYWORD_CHADOWN_NAME,魅力降低,,Carisma reducido,Charisme (-),Charisma runter,Carisma -,Carisma Diminuído,魅力降低
KEYWORD_CHADOWN_DESC,"魅力降低了 {absstacks}。
魅力影响最大法力值和初始法力值。",,"El carisma se reduce en {absstacks}.
El carisma afecta al maná inicial y al máximo de maná.","Charisme -{absstacks}.
Le charisme affecte le mana max. et le mana initial.","Charisma um {stacks} verringert.
Charisma wirkt sich auf max. Mana und Mana zu Kampfbeginn aus.","Il carisma diminuisce di {absstacks}.
Il carisma influenza il mana massimo e il mana iniziale.","O carisma é diminuído em {absstacks}.
O carisma afeta a mana máxima e a mana inicial.","魅力降低了 {absstacks}。
魅力影響最大法力值和初始法力值。"
KEYWORD_CLEAVE_NAME,横扫,,Incisión,Fendoir,Schlachten,Fendente,Cisão,橫掃
KEYWORD_CLEAVE_DESC,切下一大块肉。,,Corta un trozo de carne de aquello que golpea.,Coupe la cible comme un vulgaire morceau de viande.,Schneidet ein Stück Fleisch von seinem Ziel ab.,Taglia via un pezzo di carne da ciò che colpisce.,Corta um pedaço de carne do que é atingido.,切下一大塊肉。
KEYWORD_CHARMED_NAME,被迷惑,,Embrujo,Envoûtement,Charme,Ammaliamento,Feitiço,被迷惑
KEYWORD_CHARMED_DESC,被洗脑了！,,¡Le han lavado el cerebro!,On lui a lavé le cerveau&nbsp;!,Die Einheit ist verliebt!,È un lavaggio del cervello!,Lavagem cerebral!,被洗腦了！
KEYWORD_CHARMED_DESC_STACKLESS,表现得像是你的队友。,,Se comporta como si fuera del grupo.,Se comporte comme un membre de l'équipe.,"Einheit benimmt sich, als wäre sie auf deiner Seite.",Si comporta come se facesse parte della tua squadra.,Comporta-se como se estivesse na sua equipe.,表現得像是你的隊友。
KEYWORD_PROBED_NAME,被侦查,,Sonda,Sonde,Sondiert,Sonda,Sondagem,被偵查
KEYWORD_PROBED_DESC,它正在被控制！攻击它以破坏侦查！,,¡Controlan su voluntad! Hay que atacar para destrozar la sonda.,Il est contrôlé&nbsp;! Attaquez-le pour détruire la sonde&nbsp;!,"Wird ferngesteuert! Greife die Einheit an, um die Sonde zu zerstören!",L'unità è sotto controllo! Attaccala per rompere la sonda!,Suas ações estão sendo controladas! Ataque para interromper a sondagem!,它正在被控制！攻擊它以破壞偵查！
KEYWORD_PROBED_DESC_STACKLESS,表现得像是你的队友。盟友的攻击会破坏侦查。,,Se comporta como si fuera del grupo. Los ataques aliados destrozarán la sonda.,Se comporte comme s'il était dans votre équipe. Les attaques des alliés détruiront la sonde.,"Einheit benimmt sich, als wäre sie auf deiner Seite. Angriffe von Verbündeten zerstören die Sonde.",Si comporta come se facesse parte della tua squadra. Gli attacchi degli alleati romperanno la sonda.,Comporta-se como se estivesse na sua equipe. Ataques de aliados interrompem a sondagem.,表現得像是你的隊友。盟友的攻擊會破壞偵查。
KEYWORD_CONFUSION_NAME,混乱,,Confusión,Confusion,Verwirrung,Confusione,Confusão,混亂
KEYWORD_CONFUSION_DESC,执行动作时，有25%概率攻击自身，伤害等于其力量，持续 {stacks} 回合。,,"Al realizar una acción, tiene un 25 % de probabilidad de autogolpearse con su fuerza. Dura {stacks} turnos.","En effectuant une action, 25&nbsp;% de chances de se frapper soi-même. Dure {stacks} tours.","Wenn die Einheit eine Aktion ausführt, besteht eine 25%ige Wahrscheinlichkeit, dass sie sich selbst Schaden in Höhe ihrer Stärke zufügt. Dauert {stacks}&nbsp;Züge.","Quando esegue un'azione, c'è il 25% di probabilità che si autocolpisca con un danno pari alla sua forza. Dura {stacks} turni.","Ao realizar uma ação, possui 25% de chance de golpear a si mesmo de forma equivalente à sua força. Dura {stacks} turnos.",執行動作時，有25%概率攻擊自身，傷害等於其力量，持續 {stacks} 回合。
KEYWORD_CONFUSION_DESC_STACKLESS,执行动作时，有25%概率攻击自身，伤害等于其力量。,,"Al realizar una acción, tiene un 25 % de probabilidad de autogolpearse con su fuerza.","En effectuant une action, 25&nbsp;% de chances de se frapper soi-même.","Wenn die Einheit eine Aktion ausführt, besteht eine 25%ige Wahrscheinlichkeit, dass sie sich selbst Schaden in Höhe ihrer Stärke zufügt.","Quando esegue un'azione, c'è il 25% di probabilità che si autocolpisca con un danno pari alla sua forza.","Ao realizar uma ação, possui 25% de chance de golpear a si mesmo de forma equivalente à sua força.",執行動作時，有25%概率攻擊自身，傷害等於其力量。
KEYWORD_CONUP_NAME,体质提升,,Constitución aumentada,Constitution (+),Konstitution hoch,Costituzione +,Constituição Aumentada,體質提升
KEYWORD_CONUP_DESC,"体质提升了 {stacks}。
体质影响最大生命值和战后生命值回复。",,"La constitución aumenta en {stacks}.
La constitución afecta al máximo de salud y a la regeneración de salud tras el combate.","Constitution +{stacks}.
La constitution affecte les PV max. et la régénération de PV après les combats.","Konstitution um {stacks} erhöht.
Konstitution wirkt sich auf max. Gesundheit und Lebensregeneration nach dem Kampf aus.","La costituzione aumenta di {stacks}.
La costituzione influenza la salute massima e la rigenerazione della salute dopo le battaglie.","A constituição é aumentada em {stacks}.
A constituição afeta a saúde máxima e a regeneração de saúde pós-batalha.","體質提升了 {stacks}。
體質影響最大生命值和戰後生命值回覆。"
KEYWORD_CONDOWN_NAME,体质降低,,Constitución reducida,Constitution (-),Konstitution runter,Costituzione -,Constituição Diminuída,體質降低
KEYWORD_CONDOWN_DESC,"体质降低了 {absstacks}。
体质影响最大生命值和战后生命值回复。",,"La constitución se reduce en {absstacks}.
La constitución afecta al máximo de salud y a la regeneración de salud tras el combate.","Constitution -{absstacks}.
La constitution affecte les PV max. et la régénération de PV après les combats.","Konstitution um {absstacks} verringert.
Konstitution wirkt sich auf max. Gesundheit und Lebensregeneration nach dem Kampf aus.","La costituzione diminuisce di {stacks}.
La costituzione influenza la salute massima e la rigenerazione della salute dopo le battaglie.","A constituição é diminuída em {absstacks}.
A constituição afeta a saúde máxima e a regeneração de saúde pós-batalha.","體質降低了 {absstacks}。
體質影響最大生命值和戰後生命值回覆。"
KEYWORD_COUNTER_NAME,反击,,Contrataque,Contre-attaque,Konter,Contrattacco,Contra-Ataque,反擊
KEYWORD_COUNTER_DESC,自动攻击下一个伤害到你的目标。,,Ataca automáticamente al siguiente ente que le inflija daño.,Attaque automatiquement la prochaine chose qui vous blesse.,"Greife die nächste Einheit, die dir Schaden zufügt, automatisch an.",Attacchi automaticamente la prossima cosa che ti infligge danno.,Ataque automaticamente a próxima coisa que causar dano a você.,自動攻擊下一個傷害到你的目標。
KEYWORD_COUNTER_DESC_STACKS,自动攻击接下来伤害你的 {stacks} 个目标。,,Ataca automáticamente a los siguientes {stacks} entes que le inflijan daño.,Attaque automatiquement les {stacks} prochaines choses qui vous blessent.,"Greife die nächsten {stacks}&nbsp;Einheiten, die dir Schaden zufügen, automatisch an.",Attacchi automaticamente le prossime {stacks} cose che ti infliggono danno.,Ataque automaticamente as próximas {stacks} coisas que causarem dano a você.,自動攻擊接下來傷害你的 {stacks} 個目標。
KEYWORD_CRITCHANCE_NAME,暴击几率提升,,Probabilidad de crítico aumentada,Chances de coup critique (+),Kritische Trefferchance hoch,Probabilità di Critico +,Chance de Crítico Aumentada,暴擊幾率提升
KEYWORD_CRITCHANCE_DESC,暴击几率提升了 {stacks}%,,La probabilidad de crítico aumenta en un {stacks} %.,Chances de coup critique +{stacks}&nbsp;%.,Kritische Trefferchance um {stacks}&nbsp;% erhöht.,La probabilità di colpo critico aumenta del {stacks}%.,A chance de crítico é aumentada em {stacks}%.,暴擊幾率提升了 {stacks}%
KEYWORD_DAMAGEUP_NAME,伤害提升,,Daño aumentado,Dégâts (+),Schaden hoch,Danno +,Dano Aumentado,傷害提升
KEYWORD_DAMAGEUP_DESC,普通攻击伤害提升了 {stacks}。,,El daño del ataque básico aumenta en {stacks}.,Dégâts de l'attaque de base +{stacks}.,Schaden des Grundangriffs um {stacks} erhöht.,Il danno da attacco base aumenta di {stacks}.,O dano do ataque básico é aumentado em {stacks}.,普通攻擊傷害提升了 {stacks}。
