KEY,en,notes,sp,fr,de,it,pt-br,zh
AREA_NAME_FUTURE_BANNER,THE FUTURE,,EL FUTURO,FUTUR,DIE ZUKUNFT,IL FUTURO,O FUTURO,未來
AREA_NAME_THEEND_BANNER,THE END,,EL FIN,FIN,DAS ENDE,IL FINE,O FIM,終結
AREA_NAME_ENDOFTIME_BANNER,∞,,∞,∞,∞,∞,∞,∞
,,,,,,,,
//dynamic strings,,,,,,,,
WORLDEVENT_ENDBUTTON_MISC,Something else?,,¿Algo más?,Autre chose&nbsp;?,Was jetzt?,Qualcos'altro?,Mais alguma coisa?,還有別的嗎？
WORLDEVENT_ENDBUTTON_REPLACEABILITY,Select an ability to replace,,Selecciona una habilidad para remplazarla.,Remplacer une compétence,Wähle eine Fähigkeit zum Ersetzen,Seleziona un'abilità da sostituire,Selecione uma habilidade para substituir,選擇一個能力進行替換
WORLDEVENT_ENDBUTTON_REPLACEPASSIVE,Select a passive to replace,,Selecciona una habilidad pasiva para remplazarla.,Remplacer une compétence passive,Wähle einen Passiveffekt zum Ersetzen,Seleziona un'abilità passiva da sostituire,Selecione uma habilidade passiva para substituir,選擇一個被動技能進行替換
WORLDEVENT_ENDBUTTON_TRYAGAIN,Try again,,Reintentar,Réessayer,Noch einmal versuchen,Riprova,Tentar novamente,再試一次
WORLDEVENT_ENDBUTTON_LEVELUP,Level Up!,,Subir de nivel,Gain de niveau&nbsp;!,Level Up!,Livello superato!,Novo nível!,升級！
WORLDEVENT_ENDBUTTON_LEVELUP_CAT,Level Up {Catname}!,,Subir de nivel a {Catname},{Catname} gagne un niveau&nbsp;!,{Catname} bekommt ein Level Up!,{Catname} ha superato il livello!,{Catname} subiu de nível!,升級了 {Catname}！
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_M,,,,,,,,
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_F,,,,,,,,
WORLDEVENT_ENDBUTTON_LEVELUP_CAT_N,,,,,,,,
WORLDEVENT_ENDBUTTON_FIGHT,Fight!,,Luchar,Combat&nbsp;!,Kämpfen!,Combatti!,Luta!,戰鬥！
WORLDEVENT_ENDBUTTON_AMBUSHED,Ambushed!,,¡Ataque por sorpresa!,Embuscade&nbsp;!,Ein Hinterhalt!,Imboscata!,Emboscada!,遭到伏擊！
,,,,,,,,
WORLDEVENT_GET_ITEM_FAIL,"{Catname} tried to get {itemname}, but it failed.",,{Catname} no ha podido conseguir esto: {itemname}.,"{Catname} a essayé d'obtenir {itemname}, mais a échoué.","{Catname} hat versucht, {itemname} zu bekommen. Es hat nicht geklappt.","{Catname} ha provato a prendere l'oggetto {itemname}, ma ha fallito.","{Catname} tentou obter {itemname}, mas não conseguiu.",{Catname} 試圖獲得 {itemname}，但失敗了。
WORLDEVENT_GET_ITEM_FAIL_M,,,,,,,,
WORLDEVENT_GET_ITEM_FAIL_F,,,,,,,,
WORLDEVENT_GET_ITEM_FAIL_N,,,,,,,,
WORLDEVENT_GET_ITEM_SUCCESS,{Catname} got {itemname}!,,{Catname} ha conseguido esto: ¡{itemname}!,{Catname} a obtenu {itemname}&nbsp;!,{Catname} erhält {itemname}!,{Catname} ha preso l'oggetto '{itemname}'!,{Catname} obteve {itemname}!,{Catname} 獲得了 {itemname}！
WORLDEVENT_GET_ITEM_SUCCESS_M,,,,,,,,
WORLDEVENT_GET_ITEM_SUCCESS_F,,,,,,,,
WORLDEVENT_GET_ITEM_SUCCESS_N,,,,,,,,
WORLDEVENT_LOSE_ITEM,{Catname} lost {itemname}!,,{Catname} ha perdido esto: ¡{itemname}!,{Catname} a perdu {itemname}&nbsp;!,{Catname} hat {itemname} verloren!,{Catname} ha perso l'oggetto '{itemname}'!,{Catname} perdeu {itemname}!,{Catname} 丟失了 {itemname}！
WORLDEVENT_LOSE_ITEM_M,,,,,,,,
WORLDEVENT_LOSE_ITEM_F,,,,,,,,
WORLDEVENT_LOSE_ITEM_N,,,,,,,,
WORLDEVENT_LOSE_NOTHING,{Catname} has nothing to lose.,,{Catname} no tiene nada que perder.,{Catname} n'a rien à perdre.,{Catname} hat nichts zu verlieren.,{Catname} non ha nulla da perdere.,{Catname} não tem nada a perder.,{Catname} 無所畏懼。
WORLDEVENT_LOSE_NOTHING_M,,,,,,,,
WORLDEVENT_LOSE_NOTHING_F,,,,,,,,
WORLDEVENT_LOSE_NOTHING_N,,,,,,,,
WORLDEVENT_TAKE_DAMAGE,{Catname} took {amount} damage!,,¡{Catname} ha sufrido {amount} de daño!,{Catname} a subi {amount} dégâts&nbsp;!,{Catname} hat {amount}&nbsp;Schaden erlitten!,{Catname} ha subito {amount} di danno!,{Catname} sofreu {amount} de dano!,{Catname} 受到 {amount} 點傷害！
WORLDEVENT_TAKE_DAMAGE_M,,,,,,,,
WORLDEVENT_TAKE_DAMAGE_F,,,,,,,,
WORLDEVENT_TAKE_DAMAGE_N,,,,,,,,
WORLDEVENT_PARTY_TAKE_DAMAGE,The entire party took {amount} damage!,,¡Todo el grupo ha sufrido {amount} de daño!,L'équipe entière a subi {amount} dégâts&nbsp;!,Die gesamte Gruppe hat {amount}&nbsp;Schaden erlitten!,L'intero gruppo ha subito {amount} di danno!,Todo o grupo sofreu {amount} de dano!,整個隊伍受到 {amount} 點傷害！
WORLDEVENT_PARTY_TAKE_VARYING_DAMAGE,The entire party took damage.,,Todo el grupo ha sufrido daño.,L'équipe entière a subi des dégâts&nbsp;!,Die gesamte Gruppe hat Schaden erlitten.,L'intero gruppo ha subito del danno.,Todo o grupo sofreu dano!,整個隊伍受到了傷害。
WORLDEVENT_PARTY_TAKE_PERCENT_DAMAGE,The entire party took {amount}% damage!,,¡Todo el grupo ha sufrido un {amount} % de daño!,L'équipe entière a subi {amount}&nbsp;% de dégâts&nbsp;!,Die gesamte Gruppe hat {amount}&nbsp;% Schaden erlitten!,L'intero gruppo ha subito un {amount}% di danno!,Todo o grupo sofreu {amount}% de dano!,整個隊伍受到 {amount}% 的傷害！
WORLDEVENT_LEARN_ACTIVE_ABILITY,{Catname} learned {ability}!,,¡{Catname} ha aprendido {ability}!,{Catname} a appris {ability}&nbsp;!,{Catname} hat {ability} gelernt!,{Catname} ha imparato l'abilità attiva '{ability}'!,{Catname} aprendeu {ability}!,{Catname} 學會了 {ability}！
WORLDEVENT_LEARN_ACTIVE_ABILITY_M,,,,,,,,
WORLDEVENT_LEARN_ACTIVE_ABILITY_F,,,,,,,,
WORLDEVENT_LEARN_ACTIVE_ABILITY_N,,,,,,,,
WORLDEVENT_LEARN_PASSIVE_ABILITY,{Catname} learned {passive}!,,¡{Catname} ha aprendido {passive}!,{Catname} a appris {passive}&nbsp;!,{Catname} hat {passive} gelernt!,{Catname} ha imparato l'abilità passiva '{passive}'!,{Catname} aprendeu {passive}!,{Catname} 學會了被動技能 {passive}！
WORLDEVENT_LEARN_PASSIVE_ABILITY_M,,,,,,,,
WORLDEVENT_LEARN_PASSIVE_ABILITY_F,,,,,,,,
WORLDEVENT_LEARN_PASSIVE_ABILITY_N,,,,,,,,
WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY,{Catname} couldn't learn a new active because {he} had nothing new to learn.,,{Catname} no ha podido aprender una habilidad activa nueva porque ya no tiene nada que aprender.,{Catname} n'a pas pu apprendre de nouvelle compétence active car {he} n'avait rien de nouveau à apprendre.,"{Catname} konnte keine neue Aktivfähigkeit lernen, weil {he} nichts Neues zu lernen hat.",{Catname} non ha potuto imparare una nuova abilità attiva perché non aveva nulla di nuovo da imparare.,{Catname} não conseguiu aprender uma nova habilidade ativa porque não tinha nada de novo para aprender.,{Catname} 無法學習新的主動技能，因爲{he}沒有新的可學內容。
WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_M,,,,,,,,
WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_F,,,,,,,,
WORLDEVENT_FAIL_LEARN_ACTIVE_ABILITY_N,,,,,,,,
WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY,{Catname} couldn't learn a new passive because {he} had nothing new to learn.,,{Catname} no ha podido aprender una habilidad pasiva nueva porque ya no tiene nada que aprender.,{Catname} n'a pas pu apprendre de nouvelle compétence passive car {he} n'avait rien de nouveau à apprendre.,"{Catname} konnte keinen neuen Passiveffekt lernen, weil {he} nichts Neues zu lernen hat.",{Catname} non ha potuto imparare una nuova abilità passiva perché non aveva nulla di nuovo da imparare.,{Catname} não conseguiu aprender uma nova habilidade passiva porque não tinha nada de novo para aprender.,{Catname} 無法學習新的被動技能，因爲{he}沒有新的可學內容。
WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_M,,,,,,,,
WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_F,,,,,,,,
WORLDEVENT_FAIL_LEARN_PASSIVE_ABILITY_N,,,,,,,,
WORLDEVENT_SWAP_BASIC_ATTACK,{Catname}'s basic attack was replaced with {ability}!,,¡El ataque básico de {Catname} se ha remplazado por {ability}!,{Catname} voit son attaque de base être remplacée par {ability}&nbsp;!,Der Grundangriff von {Catname} wurde durch {ability} ersetzt!,L'attacco base di {Catname} è stato sostituito con l'abilità {ability}!,O ataque básico de {Catname} foi substituído por {ability}!,{Catname} 的基礎攻擊被替換爲 {ability}！
WORLDEVENT_SWAP_BASIC_ATTACK_M,,,,,,,,
WORLDEVENT_SWAP_BASIC_ATTACK_F,,,,,,,,
WORLDEVENT_SWAP_BASIC_ATTACK_N,,,,,,,,
WORLDEVENT_SKIP_NEXT_FIGHT,{Catname} will skip the next fight.,,{Catname} se saltará el próximo combate.,{Catname} sautera le prochain combat.,{Catname} wird nicht am nächsten Kampf teilnehmen.,{Catname} salterà il prossimo combattimento.,{Catname} vai pular a próxima luta.,{Catname} 將跳過下一場戰鬥。
WORLDEVENT_SKIP_NEXT_FIGHT_M,,,,,,,,
WORLDEVENT_SKIP_NEXT_FIGHT_F,,,,,,,,
WORLDEVENT_SKIP_NEXT_FIGHT_N,,,,,,,,
WORLDEVENT_NEW_PARTY_MEMBER,{Catname} has joined your party!,,¡{Catname} se ha unido a tu grupo!,{Catname} a rejoint votre équipe&nbsp;!,{Catname} ist deiner Gruppe beigetreten!,Ora {Catname} fa parte del tuo gruppo!,{Catname} se juntou ao seu grupo!,{Catname} 已加入你的隊伍！
WORLDEVENT_NEW_PARTY_MEMBER_M,,,,,,,,
WORLDEVENT_NEW_PARTY_MEMBER_F,,,,,,,,
WORLDEVENT_NEW_PARTY_MEMBER_N,,,,,,,,
WORLDEVENT_NEW_FOLLOWER,{Catname} has started following your party.,,{Catname} ha empezado a seguir al grupo.,{Catname} se met à suivre votre équipe.,{Catname} folgt deiner Gruppe jetzt.,{Catname} ha iniziato a seguire il tuo gruppo.,{Catname} começou a seguir seu grupo!,{Catname} 開始跟隨你的隊伍。
WORLDEVENT_NEW_FOLLOWER_M,,,,,,,,
WORLDEVENT_NEW_FOLLOWER_F,,,,,,,,
WORLDEVENT_NEW_FOLLOWER_N,,,,,,,,
WORLDEVENT_GAIN_DISORDER,{Catname} got {disorder}!,,{Catname} ha desarrollado esto: ¡{disorder}!,{Catname} a subi {disorder}&nbsp;!,{Catname} hat {disorder} erlitten!,{Catname} ha contratto il disturbo '{disorder}'!,{Catname} está sofrendo {disorder}!,{Catname} 得到了 {disorder}！
WORLDEVENT_GAIN_DISORDER_M,,,,,,,,
WORLDEVENT_GAIN_DISORDER_F,,,,,,,,
WORLDEVENT_GAIN_DISORDER_N,,,,,,,,
WORLDEVENT_CAT_CANT_LEVEL_UP,...{Catname} cannot level up...,,{Catname} no puede subir de nivel...,... {Catname} ne peut pas monter de niveau...,…&nbsp;{Catname} kann kein Level aufsteigen&nbsp;…,...{Catname} non può salire di livello...,...{Catname} não pode subir de nível...,...{Catname} 無法升級...
WORLDEVENT_CAT_CANT_LEVEL_UP_M,,,,,,,,
WORLDEVENT_CAT_CANT_LEVEL_UP_F,,,,,,,,
WORLDEVENT_CAT_CANT_LEVEL_UP_N,,,,,,,,
WORLDEVENT_GAIN_COINS,{Catname} got {amount} coins!,,¡{Catname} ha conseguido {amount} monedas!,{Catname} a obtenu {amount} pièces&nbsp;!,{Catname} hat {amount}&nbsp;Münzen erhalten!,{Catname} ha ottenuto {amount} monete!,{Catname} obteve {amount} moedas!,{Catname} 獲得了 {amount} 個金幣！
WORLDEVENT_GAIN_COINS_M,,,,,,,,
WORLDEVENT_GAIN_COINS_F,,,,,,,,
WORLDEVENT_GAIN_COINS_N,,,,,,,,
WORLDEVENT_GAIN_1_COIN,{Catname} got 1 coin!,,¡{Catname} ha conseguido 1 moneda!,{Catname} a obtenu 1&nbsp;pièce&nbsp;!,{Catname} hat 1&nbsp;Münze erhalten!,{Catname} ha ottenuto 1 moneta!,{Catname} obteve 1 moeda!,{Catname} 獲得了 1 個金幣！
WORLDEVENT_GAIN_1_COIN_M,,,,,,,,
WORLDEVENT_GAIN_1_COIN_F,,,,,,,,
WORLDEVENT_GAIN_1_COIN_N,,,,,,,,
WORLDEVENT_LOSE_COINS,{Catname} lost {amount} coins!,,¡{Catname} ha perdido {amount} monedas!,{Catname} perd {amount} pièces&nbsp;!,{Catname} hat {amount}&nbsp;Münzen verloren!,{Catname} ha perso {amount} monete!,{Catname} perdeu {amount} moedas!,{Catname} 失去了 {amount} 個金幣！
WORLDEVENT_LOSE_COINS_M,,,,,,,,
WORLDEVENT_LOSE_COINS_F,,,,,,,,
WORLDEVENT_LOSE_COINS_N,,,,,,,,
WORLDEVENT_LOSE_1_COIN,{Catname} lost 1 coin!,,¡{Catname} ha perdido 1 moneda!,{Catname} a perdu 1&nbsp;pièce&nbsp;!,{Catname} hat 1&nbsp;Münze verloren!,{Catname} ha perso 1 moneta!,{Catname} perdeu 1 moeda!,{Catname} 失去了 1 個金幣！
WORLDEVENT_LOSE_1_COIN_M,,,,,,,,
WORLDEVENT_LOSE_1_COIN_F,,,,,,,,
WORLDEVENT_LOSE_1_COIN_N,,,,,,,,
WORLDEVENT_SPEND_COINS,{Catname} hands over {amount} coins.,,{Catname} entrega {amount} monedas.,{Catname} donne {amount} pièces.,{Catname} bezahlt {amount}&nbsp;Münzen.,{Catname} consegna {amount} monete.,{Catname} entrega {amount} moedas!,{Catname} 交出了 {amount} 個金幣。
WORLDEVENT_SPEND_COINS_M,,,,,,,,
WORLDEVENT_SPEND_COINS_F,,,,,,,,
WORLDEVENT_SPEND_COINS_N,,,,,,,,
WORLDEVENT_SPEND_1_COIN,{Catname} hands over 1 coin.,,{Catname} entrega 1 moneda.,{Catname} donne 1&nbsp;pièce.,{Catname} bezahlt 1&nbsp;Münze.,{Catname} consegna 1 moneta.,{Catname} entrega 1 moeda!,{Catname} 交出了 1 個金幣。
WORLDEVENT_SPEND_1_COIN_M,,,,,,,,
WORLDEVENT_SPEND_1_COIN_F,,,,,,,,
WORLDEVENT_SPEND_1_COIN_N,,,,,,,,
WORLDEVENT_GAIN_FOOD,{Catname} stored {amount} food!,,¡{Catname} ha almacenado {amount} de comida!,{Catname} obtient {amount} nourritures&nbsp;!,{Catname} hat {amount}&nbsp;Futter bekommen!,{Catname} ha accumulato {amount} unità di cibo!,{Catname} armazenou {amount} de comida!,{Catname} 儲存了 {amount} 份食物！
WORLDEVENT_GAIN_FOOD_M,,,,,,,,
WORLDEVENT_GAIN_FOOD_F,,,,,,,,
WORLDEVENT_GAIN_FOOD_N,,,,,,,,
WORLDEVENT_GAIN_1_FOOD,{Catname} stored 1 food!,,¡{Catname} ha almacenado 1 de comida!,{Catname} obtient 1&nbsp;nourriture&nbsp;!,{Catname} hat 1&nbsp;Futter bekommen!,{Catname} ha conservato 1 unità di cibo!,{Catname} armazenou 1 de comida!,{Catname} 儲存了 1 份食物！
WORLDEVENT_GAIN_1_FOOD_M,,,,,,,,
WORLDEVENT_GAIN_1_FOOD_F,,,,,,,,
WORLDEVENT_GAIN_1_FOOD_N,,,,,,,,
WORLDEVENT_LOSE_FOOD,{Catname} stored 1 food!,,¡{Catname} ha almacenado 1 de comida!,{Catname} obtient 1&nbsp;nourriture&nbsp;!,{Catname} hat 1&nbsp;Futter bekommen!,{Catname} ha conservato 1 unità di cibo!,{Catname} armazenou 1 de comida!,{Catname} 儲存了 1 份食物！
WORLDEVENT_LOSE_FOOD_M,,,,,,,,
WORLDEVENT_LOSE_FOOD_F,,,,,,,,
WORLDEVENT_LOSE_FOOD_N,,,,,,,,
WORLDEVENT_LOSE_1_FOOD,{Catname} stored 1 food!,,¡{Catname} ha almacenado 1 de comida!,{Catname} obtient 1&nbsp;nourriture&nbsp;!,{Catname} hat 1&nbsp;Futter bekommen!,{Catname} ha conservato 1 unità di cibo!,{Catname} armazenou 1 de comida!,{Catname} 儲存了 1 份食物！
WORLDEVENT_LOSE_1_FOOD_M,,,,,,,,
WORLDEVENT_LOSE_1_FOOD_F,,,,,,,,
WORLDEVENT_LOSE_1_FOOD_N,,,,,,,,
WORLDEVENT_INJURY_PREVENTED,"{Catname} should have suffered an injury, but was immune!",,"{Catname} debería haber sufrido una lesión, pero ¡es inmune!",{Catname} a évité une blessure grâce à son immunité&nbsp;!,"{Catname} wäre eigentlich verletzt worden, ist aber immun!","{Catname} avrebbe dovuto subire una ferita, ma era immune!","{Catname} deveria ter sofrido um ferimento, mas estava imune!",{Catname} 本應受到傷害，但免疫了！
WORLDEVENT_INJURY_PREVENTED_M,,,,,,,,
WORLDEVENT_INJURY_PREVENTED_F,,,,,,,,
WORLDEVENT_INJURY_PREVENTED_N,,,,,,,,
WORLDEVENT_SUFFER_INJURY,{Catname} suffered {injury}!,,{Catname} se ha lesionado: ¡{injury}!,{Catname} a subi {injury}&nbsp;!,{Catname} erleidet: {injury}!,{Catname} ha subito la ferita '{injury}'!,{Catname} sofreu {injury}!,{Catname} 受到了 {injury}！
WORLDEVENT_SUFFER_INJURY_M,,,,,,,,
WORLDEVENT_SUFFER_INJURY_F,,,,,,,,
WORLDEVENT_SUFFER_INJURY_N,,,,,,,,
WORLDEVENT_CURE_INJURY,{Catname's} {injury} was cured!,,{Catname} se ha recuperado de esto: ¡{injury}!,{Catname} a perdu {injury}&nbsp;!,{injury} von {Catname} wurde geheilt!,La ferita '{injury}' di {Catname} è stata curata!,O ferimento {injury} de {Catname's} foi curado!,{Catname} 的 {injury} 已被治癒！
WORLDEVENT_CURE_INJURY_M,,,,,,,,
WORLDEVENT_CURE_INJURY_F,,,,,,,,
WORLDEVENT_CURE_INJURY_N,,,,,,,,
WORLDEVENT_CURE_DISORDER,{Catname} lost {disorder}!,,{Catname} ya no tiene esto: ¡{disorder}!,{Catname} ne subit plus {disorder}&nbsp;!,{Catname} leidet nicht mehr unter {disorder}!,{Catname} ha perso il disturbo '{disorder}'!,{Catname} não está mais sofrendo {disorder}!,{Catname} 失去了 {disorder}！
WORLDEVENT_CURE_DISORDER_M,,,,,,,,
WORLDEVENT_CURE_DISORDER_F,,,,,,,,
WORLDEVENT_CURE_DISORDER_N,,,,,,,,
WORLDEVENT_FULL_HEAL,{Catname} healed to full.,,{Catname} se ha curado por completo.,{Catname} a récupéré tous ses PV&nbsp;!,{Catname} wurde vollständig geheilt.,,{Catname} se curou totalmente.,{Catname} 恢復了滿血。
WORLDEVENT_FULL_HEAL_M,,,,,,{Catname} è guarito completamente.,,
WORLDEVENT_FULL_HEAL_F,,,,,,{Catname} è guarita completamente.,,
WORLDEVENT_FULL_HEAL_N,,,,,,{Catname} è ora completamente in salute.,,
WORLDEVENT_HEAL,{Catname} healed {amount} health.,,{Catname} ha recuperado {amount} PS.,{Catname} a récupéré {amount} PV.,{Catname} wurde um {amount}&nbsp;LP geheilt.,{Catname} ha recuperato {amount} di salute.,{Catname} curou {amount} de saúde.,{Catname} 回覆了 {amount} 生命值。
WORLDEVENT_HEAL_M,,,,,,,,
WORLDEVENT_HEAL_F,,,,,,,,
WORLDEVENT_HEAL_N,,,,,,,,
WORLDEVENT_PARTY_HEAL,The entire party healed {amount} health.,,Todo el grupo ha recuperado {amount} PS.,L'équipe entière a récupéré {amount} PV.,Die gesamte Gruppe wurde um {amount}&nbsp;LP geheilt.,L'intero gruppo ha recuperato {amount} di salute.,Todo o grupo curou {amount} de saúde.,整個隊伍回覆了 {amount} 生命值。
